,id,metadata_type,indicator_code,indicator_name,definition_concept,benefit,additional_information,interpretation,full_content
0,1,indikator,1,Indeks Konsumsi Rumah Tangga (IKRT),"Informasi mengenai perkembangan harga barang dan jasa yang dibayar konsumen di perdesaan. Jenis barang dan jasa tersebut dikelompokkan menjadi 7 kelompok, yaitu: bahan makanan; makanan jadi, minuman, rokok, dan tembakau; perumahan; sandang; kesehatan; pendidikan, rekreasi dan olah raga; transpor dan komunikasi.","a). Mengetahui perubahan harga dari sekelompok tetap barang dan jasa yang pada umunya dikonsumsi masyarakat;
b). Perubahan Indeks Harga Konsumsi Rumah Tangga (IKRT) dari waktu ke waktu menggambarkan tingkat kenaikan (inflasi) perdesaan atau tingkat penurunan (deflasi) perdesaan dari barang dan jasa kebutuhan rumah tangga sehari-hari;
c). Sebagai pembagi upah riil;
d). Sebagai proksi perubahan biaya hidup (proxy of cost living) di perdesaan.","Pni =  harga jenis barang I, periode ke-n
P(n-1)I = harga jenis barang I, periode ke (n-1)
P(n-1)i. Q0i = nilai konsumsi jenis barang I, periode ke- (n-1)
P0i. Qoi = nilai konsumsi jenis barang I pada tahun dasar
k = jumlah jenis barang paket komoditas
Selain dari Susenas, variabel untuk indikator ini juga didapat dari Survei Pergantian Tahun Dasar 2007.","a. IKRTn < 100; tingkat harga (konsumen/eceran) di perdesaan pada periode berjalan lebih kecil dibandingkan tahun dasar
b. IKRTn = 100; tingkat harga (konsumen/eceran diperdesaan pada periode berjalan sama dengan tahun dasar.
c. IKRTn > 100; tingkat harga (konsumen/eceran) di perdesaan pada periode berjalan lebih besar dibandingkan tahun dasar.","Nama indikator : Indeks Konsumsi Rumah Tangga (IKRT).

Konsep definisi : Informasi mengenai perkembangan harga barang dan jasa yang dibayar konsumen di perdesaan. Jenis barang dan jasa tersebut dikelompokkan menjadi 7 kelompok, yaitu: bahan makanan; makanan jadi, minuman, rokok, dan tembakau; perumahan; sandang; kesehatan; pendidikan, rekreasi dan olah raga; transpor dan komunikasi.

Manfaat : a). Mengetahui perubahan harga dari sekelompok tetap barang dan jasa yang pada umunya dikonsumsi masyarakat;
b). Perubahan Indeks Harga Konsumsi Rumah Tangga (IKRT) dari waktu ke waktu menggambarkan tingkat kenaikan (inflasi) perdesaan atau tingkat penurunan (deflasi) perdesaan dari barang dan jasa kebutuhan rumah tangga sehari-hari;
c). Sebagai pembagi upah riil;
d). Sebagai proksi perubahan biaya hidup (proxy of cost living) di perdesaan.

Keterangan tambahan : Pni =  harga jenis barang I, periode ke-n
P(n-1)I = harga jenis barang I, periode ke (n-1)
P(n-1)i. Q0i = nilai konsumsi jenis barang I, periode ke- (n-1)
P0i. Qoi = nilai konsumsi jenis barang I pada tahun dasar
k = jumlah jenis barang paket komoditas
Selain dari Susenas, variabel untuk indikator ini juga didapat dari Survei Pergantian Tahun Dasar 2007.

Interpretasi : a. IKRTn < 100; tingkat harga (konsumen/eceran) di perdesaan pada periode berjalan lebih kecil dibandingkan tahun dasar
b. IKRTn = 100; tingkat harga (konsumen/eceran diperdesaan pada periode berjalan sama dengan tahun dasar.
c. IKRTn > 100; tingkat harga (konsumen/eceran) di perdesaan pada periode berjalan lebih besar dibandingkan tahun dasar."
1,2,indikator,2,Inflasi Perdesaan,Persentase tingkat kenaikan harga sejumlah barang dan jasa yang secara umum dikonsumsi rumah tangga di Indonesia.,"- Sebagai proksi perubahan biaya hidup (proxy of cost living) di perdesaan.
- Salah satu variabel untuk menghitung variabel upah riil buruh tani","Selain dari Survei Harga Konsumen (HKD), variabel penyusun indikator ini dilengkapi dari Survei Diagram Timbang Nilai Tukar Petani (SDT NTP), Susenas Modul Konsumsi, dan SBH.","a. INFDn < 0; tingkat harga sejumlah barang dan jasa yang secara umum dikonsumsi rumah tangga perdesaan pada waktu (bulan atau tahun) (n) mengalami penurunan dibandingkan waktu (bulan atau tahun) (n-1). Dan disebut juga terjadi deflasi.
b. INFDn = 0; tingkat harga sejumlah barang dan jasa yang secara umum dikonsumsi rumah tangga perdesaan pada waktu (bulan atau tahun) (n) mengalami sama dengan waktu (bulan atau tahun) (n-1).
c. INFDn > 0; tingkat harga sejumlah barang dan jasa yang secara umum dikonsumsi rumah tangga perdesaan pada waktu (bulan atau tahun) (n) mengalami peningkatan dibandingkan waktu (bulan atau tahun) (n-1). Dan disebut juga terjadi inflasi.","Nama indikator : Inflasi Perdesaan.

Konsep definisi : Persentase tingkat kenaikan harga sejumlah barang dan jasa yang secara umum dikonsumsi rumah tangga di Indonesia.

Manfaat : - Sebagai proksi perubahan biaya hidup (proxy of cost living) di perdesaan.
- Salah satu variabel untuk menghitung variabel upah riil buruh tani.

Keterangan tambahan : Selain dari Survei Harga Konsumen (HKD), variabel penyusun indikator ini dilengkapi dari Survei Diagram Timbang Nilai Tukar Petani (SDT NTP), Susenas Modul Konsumsi, dan SBH.

Interpretasi : a. INFDn < 0; tingkat harga sejumlah barang dan jasa yang secara umum dikonsumsi rumah tangga perdesaan pada waktu (bulan atau tahun) (n) mengalami penurunan dibandingkan waktu (bulan atau tahun) (n-1). Dan disebut juga terjadi deflasi.
b. INFDn = 0; tingkat harga sejumlah barang dan jasa yang secara umum dikonsumsi rumah tangga perdesaan pada waktu (bulan atau tahun) (n) mengalami sama dengan waktu (bulan atau tahun) (n-1).
c. INFDn > 0; tingkat harga sejumlah barang dan jasa yang secara umum dikonsumsi rumah tangga perdesaan pada waktu (bulan atau tahun) (n) mengalami peningkatan dibandingkan waktu (bulan atau tahun) (n-1). Dan disebut juga terjadi inflasi."
2,3,indikator,3,Laju Pertumbuhan PDB / PDRB,Menunjukkan pertumbuhan produksi barang dan jasa di suatu wilayah perekonomian dalam selang waktu tertentu.,"a). Untuk mengukur kemajuan ekonomi sebagai hasil pembangunan nasional;
b). Sebagai dasar pembuatan proyeksi atau perkiraan penerimaan negara untuk perencanaan pembangunan nasional atau sektoral dan regional;
c). Sebagai dasar pembuatan prakiraan bisnis, khususnya persamaan penjualan.","PDB/PDRBt = PDB/PDRB tahun tertentu
PDB/PDRBt-1 = PDB/PDRB tahun sebelumnya

Sama halnya dengan penghitungan PDB/PDRB, penghitungan indikator Laju pertumbuhan PDB/PDRB yang merupakan indikator turunan dari PDB/PDRB memiliki sumber data yang sama dengan PDB/PDRB, variabel diperoleh tergantung dari pendekatan penghitungan PDB/PDRB yang digunakan.",Pertumbuhan ekonomi menunjukkan pertumbuhan produksi barang dan jasa di suatu wilayah perekonomian dalam selang waktu tertentu.,"Nama indikator : Laju Pertumbuhan PDB / PDRB.

Konsep definisi : Menunjukkan pertumbuhan produksi barang dan jasa di suatu wilayah perekonomian dalam selang waktu tertentu.

Manfaat : a). Untuk mengukur kemajuan ekonomi sebagai hasil pembangunan nasional;
b). Sebagai dasar pembuatan proyeksi atau perkiraan penerimaan negara untuk perencanaan pembangunan nasional atau sektoral dan regional;
c). Sebagai dasar pembuatan prakiraan bisnis, khususnya persamaan penjualan.

Keterangan tambahan : PDB/PDRBt = PDB/PDRB tahun tertentu
PDB/PDRBt-1 = PDB/PDRB tahun sebelumnya

Sama halnya dengan penghitungan PDB/PDRB, penghitungan indikator Laju pertumbuhan PDB/PDRB yang merupakan indikator turunan dari PDB/PDRB memiliki sumber data yang sama dengan PDB/PDRB, variabel diperoleh tergantung dari pendekatan penghitungan PDB/PDRB yang digunakan.

Interpretasi : Pertumbuhan ekonomi menunjukkan pertumbuhan produksi barang dan jasa di suatu wilayah perekonomian dalam selang waktu tertentu."
3,4,indikator,4,Produk Domestik Bruto (PDB)/ Produk Domestik Regional Bruto (PDRB),Nilai keseluruhan semua barang dan jasa yang diproduksi dalam suatu wilayah dalam suatu jangka waktu tertentu (biasanya satu tahun).,"a). Indikator untuk mengetahui pertumbuhan ekonomi suatu daerah;
b). Bahan analisis tingkat kemakmuran masyarakat dan tingkat perubahan barang dan jasa;
c). Bahan analisis produktivitas secara sektoral
d). Alat kontrol dalam menentukan kebijakan pembangunan.","- Dengan menggunakan variabel yang terdapat pada SUSENAS KOR dapat dilakukan penghitungan PDB/PDRB dengan pendekatan pengeluaran.
- Sementara untuk pendekatan penghitungan yang lainnya sumber data dapat diperoleh dari berbagai survei salah satunya Survei Tahunan Industri Besar dan sedang untuk pendekatan produksi.","Misalnya pada tahun 2005 diketahui PDB Indonesia adalah sebesar 1.750.815,2 milyar rupiah, yang artinya jumlah barang dan jasa yang dihasilkan di Indonesia pada tahun 2005 adalah 1.750.825,2 milyar rupiah.","Nama indikator : Produk Domestik Bruto (PDB)/ Produk Domestik Regional Bruto (PDRB).

Konsep definisi : Nilai keseluruhan semua barang dan jasa yang diproduksi dalam suatu wilayah dalam suatu jangka waktu tertentu (biasanya satu tahun).

Manfaat : a). Indikator untuk mengetahui pertumbuhan ekonomi suatu daerah;
b). Bahan analisis tingkat kemakmuran masyarakat dan tingkat perubahan barang dan jasa;
c). Bahan analisis produktivitas secara sektoral
d). Alat kontrol dalam menentukan kebijakan pembangunan.

Keterangan tambahan : - Dengan menggunakan variabel yang terdapat pada SUSENAS KOR dapat dilakukan penghitungan PDB/PDRB dengan pendekatan pengeluaran.
- Sementara untuk pendekatan penghitungan yang lainnya sumber data dapat diperoleh dari berbagai survei salah satunya Survei Tahunan Industri Besar dan sedang untuk pendekatan produksi.

Interpretasi : Misalnya pada tahun 2005 diketahui PDB Indonesia adalah sebesar 1.750.815,2 milyar rupiah, yang artinya jumlah barang dan jasa yang dihasilkan di Indonesia pada tahun 2005 adalah 1.750.825,2 milyar rupiah."
4,5,indikator,5,Indeks Implisit,Suatu indeks yang menunjukkan tingkat perkembangan harga di tingkat produsen (producer price index.,Digunakan untuk mengetahui adanya perubahan harga barang dan jasa secara keseluruhan yang lebih dikenal dengan tingkat inflasi.,"PDB-HB = PDB atas dasar harga berlaku
PDB-HK = PDB atas dasar harga konsumen

Indeks implisit juga merupakan indikator turunan dari PDB/PDRB, variabel diperoleh dari survei yang juga tergantung dari pendekatan penghitungan yang digunakan.","Indeks implisit Indonesia pada triwulan II tahun 2004 mencapai 138,71 persen yang menunjukkan adanya kenaikan harga sebesar 38,71 persen dibandingkan tahun 2000.","Nama indikator : Indeks Implisit.

Konsep definisi : Suatu indeks yang menunjukkan tingkat perkembangan harga di tingkat produsen (producer price index.

Manfaat : Digunakan untuk mengetahui adanya perubahan harga barang dan jasa secara keseluruhan yang lebih dikenal dengan tingkat inflasi.

Keterangan tambahan : PDB-HB = PDB atas dasar harga berlaku
PDB-HK = PDB atas dasar harga konsumen

Indeks implisit juga merupakan indikator turunan dari PDB/PDRB, variabel diperoleh dari survei yang juga tergantung dari pendekatan penghitungan yang digunakan.

Interpretasi : Indeks implisit Indonesia pada triwulan II tahun 2004 mencapai 138,71 persen yang menunjukkan adanya kenaikan harga sebesar 38,71 persen dibandingkan tahun 2000."
5,6,indikator,6,Distribusi Persentase PDB / PDRB,Sumbangan dari setiap satuan unit pengamatan (lapangan usahan dalam PB/PDRB sektoral atau penggunaan dalam PDB/PDRB pengeluaran) terhadap total agregat PDRB/PDB yang dinyatakan dalam persentase.,Menunjukkan peranan/sumbangan setiap sektor ekonomi terhadap PDB/PDRB pada periode tertentu.,"Sama dengan indikator turunan PDB/PDRB lainnya,variabel untuk  indikator Distribusi Persentase PDB/PDRB juga diperoleh dari survei yang sesuai dengan pendekatan penghitungan yang digunakan.","Besarnya sumber pertumbuhan PDB dari sektor perdagangan, hotel dan restoran pada tahun 2008 sebesar 1,2 persen, yang artinya sektor perdagangan, hotel dan restoran memberikan kontribusi sebesar 1,2 persen terhadap nilai PDB pada tahun 2008.","Nama indikator : Distribusi Persentase PDB / PDRB.

Konsep definisi : Sumbangan dari setiap satuan unit pengamatan (lapangan usahan dalam PB/PDRB sektoral atau penggunaan dalam PDB/PDRB pengeluaran) terhadap total agregat PDRB/PDB yang dinyatakan dalam persentase.

Manfaat : Menunjukkan peranan/sumbangan setiap sektor ekonomi terhadap PDB/PDRB pada periode tertentu.

Keterangan tambahan : Sama dengan indikator turunan PDB/PDRB lainnya,variabel untuk  indikator Distribusi Persentase PDB/PDRB juga diperoleh dari survei yang sesuai dengan pendekatan penghitungan yang digunakan.

Interpretasi : Besarnya sumber pertumbuhan PDB dari sektor perdagangan, hotel dan restoran pada tahun 2008 sebesar 1,2 persen, yang artinya sektor perdagangan, hotel dan restoran memberikan kontribusi sebesar 1,2 persen terhadap nilai PDB pada tahun 2008."
6,7,indikator,7,Angka Melek Huruf (AMH) dan Angka Buta Huruf (ABH),"AMH : Proporsi penduduk usia 15 tahun ke atas yang mempunyai kemampuan membaca dan menulis huruf latin dan huruf lainnya, tanpa harus mengerti apa yang di baca/ditulisnya terhadap penduduk usia 15 tahun ke atas.
ABH : Proporsi penduduk usia 15 tahun ke atas yang tidak mempunyai kemampuan membaca dan menulis huruf latin dan huruf lainnya terhadap penduduk usia 15 tahun ke atas.","Untuk melihat pencapaian indikator dasar yang telah dicapai oleh suatu daerah, karena membaca merupakan dasar utama dalam memperluas ilmu pengetahuan. AMH merupakan indikator penting untuk melihat sejauh mana penduduk suatu daerah terbuka terhadap pengetahuan.","AMHt 15  :jumlah penduduk 15  yang melek huruf tahun ke-t
Pt 15  :jumlah penduduk 15  pada tahun ke-t
BHt 15  :jumlah penduduk 15  yang buta huruf pada tahun ke-t

Selain dari Susenas, variabel indikator AMH dan ABH juga didapat dari Sensus Penduduk (SP), Survei Penduduk Antar Sensus (SUPAS) dan Survei Angkatan Kerja Nasional (Sakernas).",Tingkat melek huruf yang tinggi (atau tingkat buta huruf rendah) menunjukkan adanya sebuah sistem pendidikan dasar yang efektif dan/atau program keaksaraan yang memungkinkan sebagian besar penduduk untuk memperoleh kemampuan menggunakan kata-kata tertulis dalam kehidupan sehari-hari dan melanjutkan pembelajarannya.,"Nama indikator : Angka Melek Huruf (AMH) dan Angka Buta Huruf (ABH).

Konsep definisi : AMH : Proporsi penduduk usia 15 tahun ke atas yang mempunyai kemampuan membaca dan menulis huruf latin dan huruf lainnya, tanpa harus mengerti apa yang di baca/ditulisnya terhadap penduduk usia 15 tahun ke atas.
ABH : Proporsi penduduk usia 15 tahun ke atas yang tidak mempunyai kemampuan membaca dan menulis huruf latin dan huruf lainnya terhadap penduduk usia 15 tahun ke atas.

Manfaat : Untuk melihat pencapaian indikator dasar yang telah dicapai oleh suatu daerah, karena membaca merupakan dasar utama dalam memperluas ilmu pengetahuan. AMH merupakan indikator penting untuk melihat sejauh mana penduduk suatu daerah terbuka terhadap pengetahuan.

Keterangan tambahan : AMHt 15  :jumlah penduduk 15  yang melek huruf tahun ke-t
Pt 15  :jumlah penduduk 15  pada tahun ke-t
BHt 15  :jumlah penduduk 15  yang buta huruf pada tahun ke-t

Selain dari Susenas, variabel indikator AMH dan ABH juga didapat dari Sensus Penduduk (SP), Survei Penduduk Antar Sensus (SUPAS) dan Survei Angkatan Kerja Nasional (Sakernas).

Interpretasi : Tingkat melek huruf yang tinggi (atau tingkat buta huruf rendah) menunjukkan adanya sebuah sistem pendidikan dasar yang efektif dan/atau program keaksaraan yang memungkinkan sebagian besar penduduk untuk memperoleh kemampuan menggunakan kata-kata tertulis dalam kehidupan sehari-hari dan melanjutkan pembelajarannya."
7,8,indikator,8,Angka Partisipasi Kasar (APK),"Proporsi anak sekolah pada suatu jenjang tertentu terhadap penduduk pada kelompok usia tertentu. Sejak tahun 2007 Pendidikan Non Formal (Paket A, Paket B, dan Paket C) turut diperhitungkan.",Untuk menunjukkan tingkat partisipasi penduduk secara umum pada suatu tingkat pendidikan.,,"APK yang tinggi menunjukkan tingginya tingkat partisipasi sekolah, tanpa memperhatikan ketepatan usia sekolah pada jenjang pendidikannya. Jika nilai APK mendekati atau lebih dari 100 persen menunjukkan bahwa ada penduduk yang sekolah belum mencukupi umur dan atau melebihi umur yang seharusnya. Hal ini juga dapat menunjukkan bahwa wilayah tersebut mampu menampung penduduk usia sekolah lebih dari target yang sesungguhnya.","Nama indikator : Angka Partisipasi Kasar (APK).

Konsep definisi : Proporsi anak sekolah pada suatu jenjang tertentu terhadap penduduk pada kelompok usia tertentu. Sejak tahun 2007 Pendidikan Non Formal (Paket A, Paket B, dan Paket C) turut diperhitungkan.

Manfaat : Untuk menunjukkan tingkat partisipasi penduduk secara umum pada suatu tingkat pendidikan.

Keterangan tambahan : .

Interpretasi : APK yang tinggi menunjukkan tingginya tingkat partisipasi sekolah, tanpa memperhatikan ketepatan usia sekolah pada jenjang pendidikannya. Jika nilai APK mendekati atau lebih dari 100 persen menunjukkan bahwa ada penduduk yang sekolah belum mencukupi umur dan atau melebihi umur yang seharusnya. Hal ini juga dapat menunjukkan bahwa wilayah tersebut mampu menampung penduduk usia sekolah lebih dari target yang sesungguhnya."
8,9,indikator,9,Angka Partisipasi Murni (APM),"Proporsi penduduk pada kelompok umur jenjang pendidikan tertentu yang masih bersekolah terhadap penduduk pada kelompok umur tersebut. Sejak tahun 2007, Pendidikan Non Formal (Paket A, Paket B, dan Paket C) turut diperhitungkan.",Untuk mengukur daya serap sistem pendidikan terhadap penduduk usia sekolah,,"APM menunjukkan seberapa banyak penduduk usia sekolah yang sudah dapat memanfaatkan fasilitas pendidikan sesuai pada jenjang pendidikannya. Jika APM = 100, berarti seluruh anak usia sekolah dapat bersekolah tepat waktu","Nama indikator : Angka Partisipasi Murni (APM).

Konsep definisi : Proporsi penduduk pada kelompok umur jenjang pendidikan tertentu yang masih bersekolah terhadap penduduk pada kelompok umur tersebut. Sejak tahun 2007, Pendidikan Non Formal (Paket A, Paket B, dan Paket C) turut diperhitungkan.

Manfaat : Untuk mengukur daya serap sistem pendidikan terhadap penduduk usia sekolah.

Keterangan tambahan : .

Interpretasi : APM menunjukkan seberapa banyak penduduk usia sekolah yang sudah dapat memanfaatkan fasilitas pendidikan sesuai pada jenjang pendidikannya. Jika APM = 100, berarti seluruh anak usia sekolah dapat bersekolah tepat waktu."
9,10,indikator,10,Angka Partisipasi Sekolah (APS),"Proporsi dari semua anak yang masih sekolah pada suatu kelompok umur tertentu terhadap penduduk dengan kelompok umur yang sesuai. Sejak Tahun 2009, Pendidikan Non Formal (Paket A, Paket B, dan Paket C) turut diperhitungkan.",,,APS yang tinggi menunjukkan terbukanya peluang yang lebih besar dalam mengakses pendidikan secara umum. Pada kelompok umur mana peluang tersebut terjadi dapat dilihat dari besarnya APS pada setiap kelompok umur.,"Nama indikator : Angka Partisipasi Sekolah (APS).

Konsep definisi : Proporsi dari semua anak yang masih sekolah pada suatu kelompok umur tertentu terhadap penduduk dengan kelompok umur yang sesuai. Sejak Tahun 2009, Pendidikan Non Formal (Paket A, Paket B, dan Paket C) turut diperhitungkan.

Manfaat : .

Keterangan tambahan : .

Interpretasi : APS yang tinggi menunjukkan terbukanya peluang yang lebih besar dalam mengakses pendidikan secara umum. Pada kelompok umur mana peluang tersebut terjadi dapat dilihat dari besarnya APS pada setiap kelompok umur."
